"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
1.771587167E0;-5.305841565E-2;3.461221457E-1;-5.592626706E-2
1.781509167E0;-6.773898751E-2;2.577953935E-1;-1.777875796E-2
1.791430167E0;-7.426612824E-2;2.019257247E-1;1.504523493E-2
1.801351167E0;-6.062907353E-2;2.160573304E-1;4.500174150E-2
1.811272167E0;-1.863875054E-2;3.154004216E-1;1.068334132E-1
1.821193167E0;3.991590068E-2;5.056141615E-1;2.068327963E-1
1.831114167E0;1.027294844E-1;6.808668971E-1;2.742486000E-1
1.841036167E0;1.560822129E-1;7.767292261E-1;2.795139551E-1
1.850957167E0;2.020068318E-1;8.087369800E-1;2.887870967E-1
1.860878167E0;2.306451052E-1;7.771168351E-1;3.013511002E-1
1.870799167E0;2.595478892E-1;6.672337055E-1;2.674818337E-1
1.880720167E0;2.806434631E-1;5.171405673E-1;2.140420377E-1
1.890641167E0;2.831748128E-1;3.979039192E-1;1.558399945E-1
1.900563167E0;2.569673657E-1;3.508536518E-1;8.053980768E-2
1.910484167E0;1.998731643E-1;4.246498346E-1;1.218658686E-2
1.920405167E0;1.219081506E-1;5.090665817E-1;-4.429824278E-2
1.930326167E0;3.337722272E-2;6.100544333E-1;-7.421167195E-2
1.940247167E0;-3.688086197E-2;6.625905633E-1;-7.731653005E-2
1.950168167E0;-6.977543235E-2;5.978770852E-1;-7.564193010E-2
1.960089167E0;-7.217947394E-2;4.382848144E-1;-5.121826753E-2
1.970011167E0;-7.337442786E-2;2.499551177E-1;-1.274011843E-2
1.979932167E0;-8.728311956E-2;9.359245747E-2;1.252683625E-2
1.989853167E0;-1.209699735E-1;-1.387114916E-2;-8.939839900E-3
1.999774167E0;-1.884953380E-1;-9.989161044E-3;-2.851099148E-2
2.009695167E0;-2.893218100E-1;5.628573149E-2;-3.923091106E-3
2.019616167E0;-4.139890969E-1;1.479423493E-1;4.668164626E-2
2.029538167E0;-5.256794095E-1;1.967098862E-1;8.379439265E-2
2.039459167E0;-6.037279963E-1;2.097354084E-1;8.175048232E-2
2.049380167E0;-6.419307590E-1;1.909856945E-1;2.864305675E-2
2.059301167E0;-6.441916227E-1;1.810832322E-1;-3.330706432E-2
2.069222167E0;-6.179046035E-1;1.116447747E-1;-8.516866714E-2
2.079143167E0;-5.671452284E-1;2.122022957E-2;-9.599395841E-2
2.089065167E0;-4.958026409E-1;-5.792545155E-2;-4.790312797E-2
2.098986167E0;-4.093103707E-1;-1.457358003E-1;-2.369376831E-2
2.108907167E0;-3.276322782E-1;-1.425186992E-1;-2.340055443E-2
2.118828167E0;-2.649047077E-1;-5.649972335E-2;-2.076323703E-2
2.128749167E0;-2.119868994E-1;4.751668870E-2;-2.204048820E-2
2.138670167E0;-1.791408062E-1;8.888603002E-2;-3.824368119E-2
2.148591167E0;-1.560384184E-1;7.368044555E-2;-5.025000870E-2
2.158513167E0;-1.306060255E-1;4.340888932E-2;-3.719881922E-2
2.168434167E0;-9.534710646E-2;7.359276060E-3;-1.653322205E-2
2.178355167E0;-5.672879145E-2;-7.037217170E-2;1.198882237E-3
2.188276167E0;-3.002873808E-2;-1.052638441E-1;2.613752149E-2
2.198197167E0;-2.840420976E-2;-1.432996392E-1;4.600869492E-2
2.208118167E0;-5.736128986E-2;-1.584173292E-1;4.656636342E-2
2.218040167E0;-1.085882634E-1;-1.355504096E-1;5.073215812E-3
2.227961167E0;-1.770594567E-1;-8.777675033E-2;-9.764996171E-2
2.237882167E0;-2.642075717E-1;-8.388065547E-2;-2.617559731E-1
2.247803167E0;-3.760515451E-1;-3.583456576E-2;-4.468531311E-1
2.257724167E0;-4.939050376E-1;-3.484785557E-2;-6.251498461E-1
2.267645167E0;-6.439669728E-1;3.593656793E-2;-7.074785233E-1
2.277567167E0;1.731644154E0;1.883182645E0;-6.220680475E-1
2.287488167E0;1.514909983E0;1.131471276E0;-4.262990952E-1
2.297409167E0;5.337738246E-2;-2.150467932E-1;-2.000784576E-1
2.307330167E0;-4.774766266E-1;9.005186707E-2;-9.516111016E-2
2.317251167E0;-4.021404088E-1;-5.830478072E-1;-1.070043966E-1
2.327172167E0;6.783712655E-3;6.161481142E-2;6.528481096E-2
2.337094167E0;1.261725724E-1;1.602851450E-1;-2.686003223E-2
2.347015167E0;2.776372246E-2;-4.053903371E-2;-1.163718030E-1
2.356936167E0;-2.380271256E-2;-6.673178077E-2;-6.673993915E-2
2.366857167E0;8.339910954E-2;-4.728298634E-2;2.299820445E-2
2.376778167E0;2.076769322E-1;-3.931292892E-2;7.982360572E-2
2.386699167E0;1.994815916E-1;-9.183391929E-2;1.057886258E-1
2.396621167E0;-5.132710095E-3;-9.045601636E-2;1.625245064E-1
2.406542167E0;3.868907318E-2;-1.304543018E-1;1.783250421E-1
2.416463167E0;-4.453320429E-2;-1.094563529E-1;1.823419482E-1
2.426384167E0;-7.034935802E-2;-1.925402321E-2;1.629565358E-1
2.436305167E0;-6.892225146E-2;-3.063831851E-2;1.380445361E-1
2.446226167E0;-7.695195079E-2;-6.694519520E-2;1.407556385E-1
2.456148167E0;-4.764252901E-2;-3.496207669E-2;1.621356457E-1
2.466069167E0;-3.695045598E-3;-3.158438951E-2;1.787721366E-1
2.475990167E0;-7.917756215E-3;-4.672975466E-2;2.145027369E-1
2.485911167E0;1.674151793E-2;-2.169897035E-2;2.414193004E-1
2.495832167E0;4.491611850E-3;-9.769503027E-3;2.423323095E-1
2.505753167E0;-2.396559529E-2;-3.165403008E-2;2.577874362E-1
2.515675167E0;1.187725365E-2;-2.297021449E-2;3.176229000E-1
2.525596167E0;-1.723402739E-2;3.859533928E-3;3.714975715E-1
2.535517167E0;-2.951830253E-2;1.609300496E-3;3.839934170E-1
2.545438167E0;-2.489558607E-2;8.231516927E-3;3.628734946E-1
2.555359167E0;-1.743491367E-2;2.047106251E-2;3.331697881E-1
2.565280167E0;-8.836364374E-3;2.252276242E-2;3.176126480E-1
2.575202167E0;-2.085963497E-3;2.262741327E-2;3.055569828E-1
2.585123167E0;5.519758444E-3;1.469412260E-2;2.925636768E-1
2.595044167E0;3.252075054E-3;2.656756435E-3;2.437341958E-1
2.604965167E0;9.554978460E-3;6.737665972E-4;2.485611588E-1
2.614886167E0;-2.139229095E-3;-2.059970982E-2;2.546162605E-1
